Habitat,x,y,Name,WeightSummer,WeightShoulder
Urban,422916.763,6384610.381,Hawks Nest ,4323,1413
Urban,453260.052,6417406.201,Smiths Lake,2607,1332
Urban,456593.65,6421370.036,Pacific Palms 1,2286,668
Caravan Park,423130.141,6384086.144,Jimmys Beach ,450,150
Caravan Park,423401.339,6384813.749,Reflections Hawks Nest,540,180
Caravan Park,455198.776,6411422.663,Reflections Seal Rocks,360,120
Caravan Park,454535.994,6416915.424,Sandbar Holiday Park,600,200
Caravan Park,456212.39,6422644.047,Pacific Palms Holiday Park,150,50
LrgCampground,423653.466,6388211.595,Myall River Camp,300,100
LrgCampground,427931.279,6391980.092,Stewart and Lloyds Campground,36,12
LrgCampground,434994.654,6398442.473,Banksia Green Campground,45,15
LrgCampground,435211.707,6399133.247,Mungo Brush Campground,225,75
LrgCampground,435818.742,6399629.889,Dees Corner Campground,36,12
LrgCampground,436404.795,6400913.12,The Wells Campground,27,9
LrgCampground,436409.425,6401114.886,White Tree Bay Campground,45,15
LrgCampground,452517.219,6409225.955,Yagon Campground,75,25
LrgCampground,454509.535,6409845.082,Treachery Camp,300,100
LrgCampground,448518.034,6414220.637,Neranie Campground,75,25
LrgCampground,443799.649,6423088.813,Wallingat River Campground,60,20
LrgCampground,454728.303,6425056.399,The Ruins Campground,300,100
